experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,hand,target_hit,final_ball_state,type,target_position_x,target_position_y,target_position_z,target_angle,target_width,launch_direction,side_water_force,forward_water_force,water_speed_m/s,launch_angle,launch_angle_error,launch_Speed,ball_pos_x,ball_pos_z,final_ball_pos_x,final_ball_pos_z,ball_time,turning_absolute_x,turning_absolute_y,distance_from_target,leftPole_position_x,leftPole_position_z,leftPole_distance_from_ball,rightPole_position_x,rightPole_position_z,rightPole_distance_from_ball,min_pos_from_target_x,min_pos_from_target_z,total_score,step_0_time,step_1_time,step_2_time
projectile_experiment ,123,1,1,1,1,7.927712,11.84985,r,True,Hit,projectile,0,-0.164,2.308,0,0.377828,(0.07_ -0.09_ 0.99),0,0,0,85.92879,85.92879,4.439902,0.006407_0.009610_0.016017_0.019220_0.022424_0.028831_0.032034_0.035238_0.041644_0.044476_0.049057_0.051345_0.053633_0.058209_0.060498_0.065074_0.067362_0.069650_0.074227_0.076515_0.081091_0.083379_0.085667_0.090244_0.092532_0.097108_0.099396_0.101684_0.106261_0.108549_0.113125_0.115413_0.117702_0.122278_0.124566_0.129142_0.131430_0.133719_0.138295_0.140583_0.145159_0.147447_0.149736_0.154312_0.156600,0.088567_0.132850_0.221417_0.265700_0.309983_0.398550_0.442833_0.487116_0.575683_0.614829_0.678151_0.709782_0.741413_0.804675_0.836306_0.899568_0.931199_0.962830_1.026091_1.057722_1.120984_1.152615_1.184246_1.247508_1.279139_1.342401_1.374032_1.405663_1.468925_1.500556_1.563818_1.595449_1.627080_1.690342_1.721973_1.785235_1.816866_1.848497_1.911759_1.943390_2.006652_2.038283_2.069914_2.133176_2.164807,0.1566,2.164807,10.512300_10.526320_10.540230_10.554200_10.568230_10.582100_10.596050_10.609970_10.623910_10.637820_10.651760_10.665700_10.679550_10.693720_10.708620_10.721480_10.735360_10.749370_10.763170_10.777170_10.791080_10.805130_10.818930_10.832860_10.846940_10.860790_10.874680_10.888640_10.902590_10.916710_10.930510_10.944450_10.958440_10.972320_10.986210_11.000270_11.014130_11.028110_11.042090_11.055950_11.070170_11.083990_11.097800_11.111880_11.125670,0.1566,2.164807,0,-0.202974,2.157563,0.359647,0.174854,2.157563,0.019639,0.1566,2.164807,5,10.42867,10.5,11.12567
projectile_experiment ,123,1,2,1,2,11.84985,14.50991,r,True,Hit,projectile,0,-0.164,2.308,0,0.377828,(-0.05_ 0.02_ 1.00),0,0,0,93.01498,93.01498,3.71947,-0.001143_-0.003430_-0.004573_-0.006859_-0.008002_-0.009146_-0.011432_-0.012575_-0.013718_-0.015846_-0.016664_-0.018297_-0.019930_-0.019930_-0.021564_-0.022380_-0.024013_-0.024830_-0.025646_-0.027280_-0.028096_-0.029729_-0.030546_-0.031362_-0.032995_-0.033812_-0.034629_-0.036262_-0.037078_-0.038711_-0.039528_-0.040345_-0.041978_-0.042794_-0.044427_-0.045244_-0.046060_-0.047694_-0.048510_-0.050143_-0.050960_-0.051776_-0.053410_-0.054226_-0.055859_-0.056676_-0.057492_-0.059125_-0.059942_-0.061575_-0.062392_-0.063208_-0.064841_-0.065658,0.037177_0.111531_0.148709_0.223063_0.260240_0.297417_0.371771_0.408948_0.446125_0.515331_0.541930_0.595040_0.648151_0.648151_0.701261_0.727816_0.780926_0.807481_0.834036_0.887146_0.913701_0.966811_0.993366_1.019921_1.073032_1.099587_1.126142_1.179252_1.205807_1.258917_1.285472_1.312027_1.365137_1.391692_1.444803_1.471358_1.497913_1.551023_1.577578_1.630688_1.657243_1.683798_1.736908_1.763463_1.816573_1.843128_1.869684_1.922794_1.949349_2.002459_2.029014_2.055569_2.108679_2.135234,-0.065658,2.135234,13.048330_13.062190_13.076070_13.090110_13.104110_13.117900_13.131710_13.145560_13.159440_13.173390_13.187220_13.201290_13.223790_13.228740_13.242980_13.256870_13.270770_13.284660_13.298510_13.312500_13.326400_13.340260_13.354180_13.368150_13.382000_13.396030_13.409910_13.423810_13.437700_13.451540_13.465550_13.479470_13.493580_13.507350_13.521390_13.535310_13.549030_13.563040_13.576840_13.590900_13.604830_13.618680_13.632670_13.646550_13.660520_13.674400_13.688300_13.702400_13.716450_13.730180_13.744120_13.758120_13.771920_13.785880,0.1566,2.164807,0,-0.202974,2.157563,0.13912,0.174854,2.157563,0.241546,-0.065658,2.135234,10,12.97854,13.04,13.78588
projectile_experiment ,123,1,3,1,3,14.50991,16.29232,r,True,Hit,projectile,0,-0.164,2.308,0,0.377828,(0.01_ 0.00_ 1.00),0,0,0,89.68451,89.68451,3.935485,0.000433_0.000650_0.000867_0.001300_0.001517_0.001950_0.002167_0.002384_0.002817_0.003005_0.003315_0.003470_0.003625_0.003934_0.004089_0.004399_0.004554_0.004708_0.005018_0.005173_0.005482_0.005637_0.005792_0.006101_0.006256_0.006566_0.006721_0.006875_0.007185_0.007340_0.007495_0.007804_0.007959_0.008268_0.008423_0.008578_0.008888_0.009042_0.009352_0.009507_0.009662_0.009971_0.010126_0.010435_0.010590_0.010745_0.011055_0.011209_0.011519_0.011674_0.011829,0.078709_0.118063_0.157417_0.236126_0.275480_0.354188_0.393543_0.432897_0.511605_0.545809_0.602078_0.630188_0.658298_0.714519_0.742629_0.798850_0.826960_0.855070_0.911290_0.939401_0.995621_1.023731_1.051841_1.108062_1.136172_1.192392_1.220502_1.248612_1.304833_1.332943_1.361053_1.417274_1.445384_1.501605_1.529715_1.557825_1.614046_1.642156_1.698377_1.726487_1.754597_1.810818_1.838928_1.895148_1.923259_1.951369_2.007589_2.035700_2.091920_2.120030_2.148141,0.011829,2.148141,14.872060_14.885920_14.899940_14.913950_14.927730_14.941650_14.955640_14.969470_14.983400_14.997320_15.011280_15.025220_15.039180_15.052950_15.066910_15.080930_15.095850_15.108710_15.122670_15.136520_15.150580_15.164390_15.178300_15.192230_15.206230_15.220010_15.234020_15.247940_15.261840_15.275800_15.289690_15.303630_15.317540_15.331380_15.345400_15.359340_15.373250_15.387180_15.401130_15.414980_15.428960_15.442900_15.456760_15.470650_15.484800_15.498730_15.512540_15.526480_15.540410_15.554620_15.568220,0.1566,2.164807,0,-0.202974,2.157563,0.215009,0.174854,2.157563,0.163297,0.011829,2.148141,15,14.81633,14.86,15.56822
projectile_experiment ,123,1,4,1,4,16.29232,17.97674,r,True,Hit,projectile,0,-0.164,2.308,0,0.377828,(0.06_ -0.02_ 1.00),0,0,0,86.69267,86.69267,4.32964,0.002593_0.007778_0.010370_0.012963_0.018148_0.020741_0.023334_0.028519_0.031111_0.035988_0.037843_0.039695_0.043399_0.045251_0.048955_0.050807_0.052658_0.056362_0.058214_0.061918_0.063770_0.065622_0.069325_0.071177_0.074881_0.076733_0.078585_0.082288_0.084140_0.085992_0.089696_0.091548_0.095251_0.097103_0.098955_0.102659_0.104511_0.108214_0.110066_0.111918_0.115622_0.117474_0.121177_0.123029_0.124881_0.128585,0.043219_0.129656_0.172875_0.216094_0.302531_0.345750_0.388968_0.475406_0.518625_0.599920_0.630849_0.661719_0.723460_0.754331_0.816072_0.846942_0.877813_0.939554_0.970424_1.032165_1.063036_1.093906_1.155647_1.186518_1.248259_1.279130_1.310000_1.371741_1.402612_1.433482_1.495224_1.526094_1.587835_1.618706_1.649576_1.711317_1.742188_1.803929_1.834800_1.865670_1.927411_1.958282_2.020023_2.050893_2.081764_2.143505,0.128585,2.143505,16.626240_16.640140_16.654140_16.668050_16.681880_16.695860_16.709850_16.723630_16.737700_16.751580_16.766500_16.779540_16.793360_16.807370_16.821270_16.835110_16.849100_16.862980_16.876960_16.890830_16.904850_16.918640_16.932610_16.946570_16.960440_16.974370_16.988280_17.002160_17.016210_17.029990_17.043860_17.057790_17.071700_17.085840_17.099650_17.113570_17.127540_17.141400_17.155360_17.169190_17.183170_17.197150_17.211200_17.224990_17.239060_17.252780,0.1566,2.164807,0,-0.202974,2.157563,0.331857,0.174854,2.157563,0.048357,0.128585,2.143505,20,16.57057,16.62,17.25278
projectile_experiment ,123,1,5,1,5,17.97674,19.84251,r,True,Hit,projectile,0,-0.164,2.308,0,0.377828,(0.02_ -0.01_ 1.00),0,0,0,88.94366,88.94366,3.379874,0.000858_0.002574_0.003432_0.004290_0.006006_0.006864_0.008580_0.009438_0.010296_0.011881_0.012495_0.013721_0.014333_0.014946_0.016172_0.016785_0.017398_0.018623_0.019236_0.020462_0.021075_0.021688_0.022913_0.023526_0.024752_0.025365_0.025978_0.027203_0.027816_0.029042_0.029655_0.030267_0.031493_0.032106_0.033332_0.033945_0.034557_0.035783_0.036396_0.037622_0.038234_0.038847_0.040073_0.040686_0.041299_0.042524_0.043137_0.044363_0.044976_0.045589_0.046814_0.047427_0.048653_0.049266_0.049879_0.051104_0.051717_0.052943_0.053556_0.054169,0.033788_0.101364_0.135151_0.168939_0.236515_0.270303_0.337879_0.371666_0.405454_0.467881_0.492051_0.540319_0.564454_0.588588_0.636856_0.660990_0.685124_0.733393_0.757527_0.805795_0.829929_0.854064_0.902332_0.926466_0.974734_0.998868_1.023003_1.071271_1.095405_1.143673_1.167808_1.191942_1.240210_1.264344_1.312613_1.336747_1.360881_1.409149_1.433283_1.481552_1.505686_1.529820_1.578088_1.602222_1.626357_1.674625_1.698759_1.747027_1.771162_1.795296_1.843564_1.867698_1.915967_1.940101_1.964235_2.012503_2.036637_2.084906_2.109040_2.133174,0.054169,2.133174,18.297030_18.311000_18.324810_18.338790_18.352670_18.366660_18.380560_18.394430_18.408370_18.422320_18.437280_18.450130_18.464050_18.477910_18.491930_18.505950_18.519740_18.533690_18.547520_18.561470_18.575420_18.589310_18.603220_18.617370_18.631060_18.645010_18.659030_18.672910_18.686840_18.700840_18.714650_18.728580_18.742480_18.756490_18.770440_18.784310_18.798320_18.812150_18.826160_18.840060_18.853970_18.867750_18.881650_18.895670_18.909540_18.923500_18.937410_18.951160_18.965060_18.979130_18.993080_19.006950_19.020900_19.034950_19.048930_19.062790_19.076900_19.090440_19.104550_19.118450,0.1566,2.164807,0,-0.202974,2.157563,0.258297,0.174854,2.157563,0.123125,0.054169,2.133174,25,18.2553,18.29,19.11845
projectile_experiment ,123,1,6,1,6,19.84251,21.48534,r,True,Hit,projectile,0,-0.164,2.308,0,0.377828,(-0.03_ 0.05_ 1.00),0,0,0,91.61986,91.61986,3.953681,-0.000539_-0.001078_-0.002157_-0.002696_-0.003775_-0.004314_-0.004853_-0.005931_-0.006471_-0.007479_-0.007865_-0.008250_-0.009020_-0.009405_-0.010176_-0.010561_-0.010946_-0.011716_-0.012101_-0.012487_-0.013257_-0.013642_-0.014412_-0.014798_-0.015183_-0.015953_-0.016338_-0.017109_-0.017494_-0.017879_-0.018649_-0.019034_-0.019805_-0.020190_-0.020575_-0.021345_-0.021730_-0.022501_-0.022886_-0.023271_-0.024041_-0.024427_-0.024812_-0.025582_-0.025967_-0.026737_-0.027123_-0.027508_-0.028278_-0.028663_-0.029434,0.039533_0.079066_0.158133_0.197666_0.276732_0.316265_0.355798_0.434865_0.474398_0.548314_0.576601_0.604839_0.661315_0.689553_0.746028_0.774266_0.802504_0.858980_0.887218_0.915456_0.971932_1.000170_1.056646_1.084884_1.113122_1.169598_1.197835_1.254311_1.282549_1.310787_1.367263_1.395501_1.451977_1.480215_1.508453_1.564929_1.593167_1.649642_1.677880_1.706118_1.762594_1.790832_1.819070_1.875546_1.903784_1.960260_1.988498_2.016736_2.073212_2.101450_2.157926,-0.029434,2.157926,20.065040_20.078950_20.092880_20.107860_20.120820_20.134670_20.148670_20.162530_20.176480_20.190420_20.204390_20.218290_20.232140_20.246130_20.260050_20.273950_20.287820_20.301920_20.315800_20.329650_20.343560_20.357490_20.371380_20.385510_20.399350_20.413240_20.427100_20.441140_20.454970_20.468860_20.482820_20.496800_20.510670_20.524650_20.538510_20.552500_20.566350_20.580320_20.594240_20.608210_20.622160_20.635910_20.649840_20.663730_20.677730_20.691640_20.705640_20.719580_20.733590_20.747340_20.761440,0.1566,2.164807,0,-0.202974,2.157563,0.173541,0.174854,2.157563,0.204288,-0.029434,2.157926,30,20.00938,20.06,20.76144
projectile_experiment ,123,1,7,2,1,21.48534,23.12799,r,True,Hit,projectile,0,-0.164,2.308,0,0.377828,(0.06_ 0.00_ 1.00),0,0,0,86.36913,86.36913,4.358774,0.003042_0.009125_0.012167_0.015209_0.021293_0.024334_0.030418_0.033460_0.036502_0.042226_0.044402_0.048748_0.050921_0.053093_0.057439_0.059611_0.063957_0.066130_0.068302_0.072648_0.074820_0.076993_0.081339_0.083511_0.087857_0.090029_0.092202_0.096547_0.098720_0.103066_0.105238_0.107411_0.111756_0.113929_0.118275_0.120447_0.122620_0.126965_0.129138_0.133484_0.135656_0.137829_0.142174_0.144347_0.148693_0.150865,0.043481_0.130444_0.173926_0.217407_0.304370_0.347852_0.434815_0.478296_0.521778_0.603602_0.634719_0.696835_0.727894_0.758952_0.821068_0.852126_0.914243_0.945301_0.976359_1.038475_1.069534_1.100592_1.162708_1.193766_1.255883_1.286941_1.317999_1.380116_1.411174_1.473290_1.504348_1.535406_1.597523_1.628581_1.690697_1.721756_1.752814_1.814930_1.845988_1.908105_1.939163_1.970221_2.032337_2.063396_2.125512_2.156570,0.150865,2.15657,21.777460_21.791380_21.805320_21.819230_21.833220_21.847100_21.861000_21.874950_21.888900_21.902960_21.916770_21.930620_21.944640_21.958510_21.972500_21.987540_22.000320_22.014300_22.028220_22.042060_22.056020_22.069830_22.083730_22.097670_22.111630_22.125550_22.139510_22.153370_22.167290_22.181300_22.195290_22.209010_22.223020_22.236950_22.250890_22.264710_22.278690_22.292600_22.306530_22.320440_22.334310_22.348320_22.362140_22.376170_22.390200_22.403990,0.150865,2.15657,0,-0.202974,2.157563,0.353841,0.174854,2.157563,0.024009,0.150865,2.15657,35,21.7218,21.77,22.40399
projectile_experiment ,123,1,8,2,2,23.12799,24.8547,r,True,Hit,projectile,0,-0.164,2.308,0,0.377828,(0.00_ 0.00_ 1.00),0,0,0,90.07541,90.07541,3.905691,0.001140_0.001710_0.002281_0.003421_0.003991_0.004561_0.005702_0.006272_0.007412_0.007907_0.008315_0.009129_0.009537_0.010351_0.010758_0.011166_0.011980_0.012388_0.013202_0.013609_0.014017_0.014831_0.015238_0.016053_0.016460_0.016867_0.017682_0.018089_0.018904_0.019311_0.019718_0.020533_0.020940_0.021347_0.022162_0.022569_0.023383_0.023791_0.024198_0.025012_0.025420_0.026234_0.026641_0.027049_0.027863_0.028270_0.029085_0.029492_0.029899_0.030714_0.031121_0.031528,0.078105_0.117158_0.156211_0.234317_0.273369_0.312422_0.390528_0.429580_0.507686_0.541588_0.569531_0.625321_0.653216_0.709005_0.736900_0.764795_0.820585_0.848479_0.904269_0.932164_0.960059_1.015848_1.043743_1.099533_1.127427_1.155322_1.211112_1.239007_1.294797_1.322691_1.350586_1.406376_1.434271_1.462166_1.517955_1.545850_1.601640_1.629535_1.657430_1.713219_1.741114_1.796904_1.824799_1.852694_1.908483_1.936378_1.992168_2.020063_2.047957_2.103747_2.131642_2.159536,0.031528,2.159536,23.420330_23.434370_23.449120_23.462020_23.475900_23.489940_23.503800_23.517770_23.531560_23.545500_23.559410_23.573420_23.587240_23.601220_23.615220_23.629170_23.642970_23.656870_23.670950_23.684820_23.698670_23.712660_23.726710_23.740550_23.754420_23.768300_23.782360_23.796180_23.810110_23.824130_23.838000_23.851860_23.865780_23.879760_23.893640_23.907550_23.921510_23.935360_23.949420_23.963310_23.977180_23.991050_24.004960_24.019000_24.032850_24.046940_24.060900_24.074740_24.088540_24.102540_24.116470_24.130520,0.150865,2.15657,0,-0.202974,2.157563,0.234511,0.174854,2.157563,0.143339,0.031528,2.159536,40,23.3506,23.41,24.13052
projectile_experiment ,123,1,9,2,3,24.8547,26.62239,r,True,Hit,projectile,0,-0.164,2.308,0,0.377828,(-0.01_ -0.02_ 1.00),0,0,0,90.83181,90.83181,3.609613,-0.001048_-0.001572_-0.002620_-0.003145_-0.003669_-0.004717_-0.005241_-0.006289_-0.006813_-0.007262_-0.008012_-0.008386_-0.008760_-0.009509_-0.009884_-0.010632_-0.011007_-0.011381_-0.012130_-0.012504_-0.013253_-0.013627_-0.014001_-0.014750_-0.015124_-0.015873_-0.016248_-0.016622_-0.017371_-0.017745_-0.018494_-0.018868_-0.019242_-0.019991_-0.020365_-0.021114_-0.021488_-0.021863_-0.022611_-0.022986_-0.023360_-0.024109_-0.024483_-0.025232_-0.025606_-0.025981_-0.026729_-0.027104_-0.027852_-0.028227_-0.028601_-0.029350_-0.029724_-0.030473_-0.030847_-0.031222,0.072185_0.108277_0.180462_0.216554_0.252646_0.324831_0.360923_0.433108_0.469200_0.500142_0.551744_0.577524_0.603305_0.654865_0.680645_0.732206_0.757986_0.783766_0.835327_0.861107_0.912667_0.938448_0.964228_1.015788_1.041568_1.093129_1.118909_1.144689_1.196250_1.222030_1.273590_1.299371_1.325151_1.376711_1.402491_1.454052_1.479832_1.505612_1.557173_1.582953_1.608733_1.660293_1.686074_1.737634_1.763414_1.789194_1.840755_1.866535_1.918095_1.943876_1.969656_2.021216_2.046996_2.098557_2.124337_2.150117,-0.031222,2.150117,25.132700_25.146570_25.160620_25.174470_25.188330_25.202280_25.216290_25.230300_25.244110_25.258020_25.271850_25.285810_25.299750_25.313730_25.328690_25.341540_25.355490_25.369410_25.383550_25.397210_25.411140_25.425140_25.439030_25.452960_25.466810_25.480700_25.494590_25.508740_25.522500_25.536440_25.550340_25.564220_25.578250_25.592110_25.606050_25.620020_25.633890_25.647870_25.661700_25.675660_25.689510_25.703450_25.717370_25.731290_25.745200_25.759160_25.773120_25.787070_25.800960_25.815200_25.828790_25.842640_25.856570_25.870420_25.884360_25.898400,0.150865,2.15657,0,-0.202974,2.157563,0.171914,0.174854,2.157563,0.20621,-0.031222,2.150117,45,25.07697,25.12,25.8984
projectile_experiment ,123,1,10,2,4,26.62239,28.4601,r,True,Hit,projectile,0,-0.164,2.308,0,0.377828,(-0.06_ 0.07_ 1.00),0,0,0,93.49374,93.49374,3.192031,-0.001688_-0.005065_-0.006754_-0.010131_-0.011819_-0.013507_-0.016884_-0.018573_-0.021950_-0.023365_-0.024573_-0.026985_-0.028191_-0.030603_-0.031809_-0.033015_-0.035427_-0.036633_-0.037839_-0.040251_-0.041457_-0.043869_-0.045075_-0.046282_-0.048694_-0.049900_-0.052312_-0.053518_-0.054724_-0.057136_-0.058342_-0.060754_-0.061960_-0.063166_-0.065578_-0.066784_-0.069196_-0.070402_-0.071608_-0.074020_-0.075226_-0.076432_-0.078844_-0.080050_-0.082462_-0.083668_-0.084874_-0.087286_-0.088492_-0.090904_-0.092110_-0.093316_-0.095728_-0.096934_-0.099346_-0.100552_-0.101758_-0.104170_-0.105376_-0.107788_-0.108994_-0.110201_-0.112613_-0.113819,0.031876_0.095627_0.127503_0.191254_0.223129_0.255005_0.318756_0.350632_0.414383_0.441115_0.463915_0.509452_0.532220_0.577757_0.600525_0.623293_0.668830_0.691598_0.714367_0.759903_0.782672_0.828208_0.850976_0.873745_0.919281_0.942050_0.987586_1.010355_1.033123_1.078659_1.101428_1.146964_1.169732_1.192501_1.238037_1.260806_1.306342_1.329110_1.351879_1.397415_1.420183_1.442952_1.488488_1.511256_1.556793_1.579561_1.602329_1.647866_1.670634_1.716171_1.738939_1.761707_1.807244_1.830012_1.875549_1.898317_1.921085_1.966622_1.989390_2.034926_2.057695_2.080463_2.125999_2.148768,-0.113819,2.148768,26.858970_26.872890_26.886950_26.900880_26.914880_26.928630_26.942560_26.956520_26.970510_26.984360_26.999270_27.012160_27.026070_27.040030_27.053970_27.067860_27.081750_27.095710_27.109650_27.123560_27.137530_27.151360_27.165280_27.179250_27.193230_27.207140_27.220940_27.234930_27.248870_27.262700_27.276610_27.290650_27.304740_27.318430_27.332250_27.346400_27.360180_27.374160_27.388140_27.402030_27.415900_27.429860_27.443760_27.457730_27.471590_27.485510_27.499460_27.513360_27.527220_27.541280_27.555070_27.569200_27.582960_27.596960_27.610860_27.624860_27.638690_27.652850_27.666580_27.680530_27.694390_27.708330_27.722290_27.736150,0.150865,2.15657,0,-0.202974,2.157563,0.089588,0.174854,2.157563,0.288806,-0.113819,2.148768,50,26.80326,26.85,27.73615
