experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,hand,target_hit,final_ball_state,type,target_position_x,target_position_y,target_position_z,target_angle,target_width,launch_direction,side_water_force,forward_water_force,water_speed_m/s,launch_angle,launch_angle_error,launch_Speed,ball_pos_x,ball_pos_z,final_ball_pos_x,final_ball_pos_z,ball_time,turning_absolute_x,turning_absolute_y,distance_from_target,leftPole_position_x,leftPole_position_z,leftPole_distance_from_ball,rightPole_position_x,rightPole_position_z,rightPole_distance_from_ball,min_pos_from_target_x,min_pos_from_target_z,total_score,step_0_time,step_1_time,step_2_time
projectile_experiment ,123,1,1,1,1,6.289258,21.47516,r,True,Hit,projectile,0,-0.164,2.308,0,0.251885,(0.01_ -0.08_ 1.00),0,0,0,89.36927,89.36927,3.210013,-0.000046_-0.000092_-0.000185_-0.000231_-0.000277_-0.000369_-0.000416_-0.000508_-0.000554_-0.000600_-0.000672_-0.000705_-0.000771_-0.000804_-0.000870_-0.000903_-0.000936_-0.001002_-0.001035_-0.001068_-0.001134_-0.001167_-0.001233_-0.001266_-0.001299_-0.001365_-0.001398_-0.001464_-0.001497_-0.001530_-0.001596_-0.001629_-0.001662_-0.001727_-0.001760_-0.001826_-0.001859_-0.001892_-0.001958_-0.001991_-0.002057_-0.002090_-0.002123_-0.002189_-0.002222_-0.002288_-0.002321_-0.002354_-0.002420_-0.002453_-0.002519_-0.002552_-0.002585_-0.002651_-0.002684_-0.002750_-0.002783_-0.002816_-0.002882_-0.002915_-0.002948_-0.003014_-0.003047_-0.003080,0.032100_0.064200_0.128400_0.160501_0.192601_0.256801_0.288901_0.353101_0.385201_0.417301_0.467211_0.490140_0.535997_0.558926_0.604783_0.627712_0.650641_0.696498_0.719427_0.742355_0.788213_0.811141_0.856998_0.879927_0.902856_0.948713_0.971642_1.017499_1.040428_1.063356_1.109213_1.132142_1.155071_1.200928_1.223856_1.269714_1.292642_1.315571_1.361429_1.384357_1.430215_1.453143_1.476072_1.521930_1.544858_1.590716_1.613644_1.636573_1.682431_1.705359_1.751217_1.774145_1.797074_1.842932_1.865860_1.911718_1.934646_1.957575_2.003433_2.026361_2.049290_2.095147_2.118076_2.141005,-0.00308,2.141005,19.874200_19.888080_19.902140_19.916010_19.929910_19.943810_19.957730_19.971880_19.985660_19.999500_20.013510_20.027430_20.041310_20.055350_20.070040_20.083070_20.097000_20.110980_20.124850_20.138850_20.152740_20.166610_20.180590_20.194420_20.208400_20.222460_20.236340_20.250170_20.264240_20.278080_20.292070_20.305940_20.319880_20.333640_20.347610_20.361580_20.375420_20.389420_20.403310_20.417290_20.431110_20.445070_20.459010_20.472910_20.486750_20.500710_20.514770_20.528750_20.542470_20.556450_20.570290_20.584420_20.598180_20.612170_20.626110_20.640100_20.653970_20.667850_20.681950_20.695670_20.709650_20.723590_20.737340_20.751400,-0.000046,0.0321,0,-0.140003,2.157563,0.13792,0.111883,2.157563,0.116149,-0.00308,2.141005,5,11.89826,19.87,20.7514
projectile_experiment ,123,1,2,1,2,21.47516,23.45218,r,True,Hit,projectile,-0.406963,-0.164,2.308,-10,0.251885,(-0.26_ 0.17_ 0.95),0,0,0,105.23,95.23004,4.196602,-0.010383_-0.020767_-0.041534_-0.051917_-0.072684_-0.083067_-0.093451_-0.114217_-0.124601_-0.144093_-0.151524_-0.158940_-0.173774_-0.181190_-0.196024_-0.203441_-0.210857_-0.225691_-0.233107_-0.247941_-0.255358_-0.262774_-0.277608_-0.285024_-0.292441_-0.307275_-0.314691_-0.329525_-0.336942_-0.344358_-0.359192_-0.366608_-0.381442_-0.388859_-0.396275_-0.411109_-0.418526_-0.433359_-0.440776_-0.448192_-0.463026_-0.470443_-0.485276_-0.492693_-0.500109_-0.514943_-0.522360_-0.537193_-0.544610_-0.552027,0.040661_0.081322_0.162645_0.203306_0.284628_0.325290_0.365951_0.447273_0.487934_0.564266_0.593363_0.622406_0.680494_0.709537_0.767625_0.796669_0.825712_0.883800_0.912843_0.970931_0.999974_1.029018_1.087105_1.116149_1.145193_1.203280_1.232324_1.290411_1.319455_1.348498_1.406586_1.435629_1.493717_1.522760_1.551804_1.609891_1.638935_1.697022_1.726066_1.755110_1.813197_1.842241_1.900328_1.929372_1.958416_2.016503_2.045547_2.103634_2.132678_2.161721,-0.552027,2.161721,22.045820_22.059910_22.073690_22.087690_22.101460_22.115370_22.129320_22.143300_22.158200_22.171220_22.185190_22.198930_22.213100_22.226870_22.240810_22.254600_22.268580_22.282530_22.296340_22.310340_22.324320_22.338280_22.352160_22.366090_22.379990_22.393920_22.407930_22.421790_22.435730_22.449600_22.463590_22.477510_22.491460_22.505340_22.519320_22.533170_22.547080_22.561010_22.575080_22.589040_22.602740_22.616850_22.630770_22.644780_22.658670_22.672680_22.686340_22.700330_22.714200_22.728130,-0.000046,0.0321,0,-0.140003,2.157563,0.412045,0.111883,2.157563,0.663922,-0.552027,2.161721,10,21.99025,22.04,22.72813
projectile_experiment ,123,1,3,1,3,23.45218,25.5824,r,True,Hit,projectile,-0.406963,-0.164,2.308,-10,0.251885,(-0.20_ 0.12_ 0.97),0,0,0,101.6365,91.6365,2.919303,-0.012003_-0.018004_-0.030007_-0.036009_-0.042010_-0.054013_-0.060015_-0.072018_-0.078019_-0.082962_-0.091541_-0.095828_-0.104401_-0.108688_-0.112975_-0.121548_-0.125835_-0.134409_-0.138695_-0.142982_-0.151556_-0.155843_-0.164416_-0.168703_-0.172990_-0.181563_-0.185850_-0.190137_-0.198710_-0.202997_-0.211571_-0.215858_-0.220144_-0.228718_-0.233005_-0.241578_-0.245865_-0.250152_-0.258725_-0.263012_-0.271586_-0.275873_-0.280159_-0.288733_-0.293020_-0.301593_-0.305880_-0.310167_-0.318741_-0.323027_-0.327314_-0.335888_-0.340175_-0.348748_-0.353035_-0.357322_-0.365895_-0.370182_-0.378756_-0.383042_-0.387329_-0.395903_-0.400190_-0.408763_-0.413050_-0.417337_-0.425910_-0.430197_-0.438771_-0.443058_-0.447344,0.057139_0.085708_0.142847_0.171417_0.199986_0.257125_0.285695_0.342834_0.371403_0.394932_0.435771_0.456177_0.496991_0.517398_0.537804_0.578618_0.599025_0.639838_0.660245_0.680652_0.721466_0.741872_0.782686_0.803093_0.823499_0.864313_0.884720_0.905127_0.945940_0.966347_1.007160_1.027567_1.047974_1.088787_1.109194_1.150007_1.170414_1.190821_1.231634_1.252041_1.292855_1.313261_1.333668_1.374481_1.394888_1.435702_1.456108_1.476515_1.517329_1.537735_1.558142_1.598955_1.619362_1.660176_1.680582_1.700989_1.741802_1.762209_1.803023_1.823429_1.843836_1.884650_1.905056_1.945870_1.966276_1.986683_2.027497_2.047903_2.088717_2.109123_2.129530,-0.447344,2.12953,23.883790_23.897820_23.911720_23.925650_23.939550_23.953370_23.967360_23.981340_23.995150_24.009230_24.023020_24.037930_24.051200_24.064950_24.078740_24.092760_24.106580_24.120450_24.134340_24.148380_24.162250_24.176210_24.190180_24.204250_24.217990_24.231960_24.245890_24.259640_24.273570_24.287520_24.301420_24.315350_24.329440_24.343360_24.357200_24.371060_24.385030_24.398890_24.412920_24.426770_24.440630_24.454550_24.468540_24.482550_24.496340_24.510380_24.524320_24.538250_24.552270_24.566040_24.579980_24.593860_24.607920_24.621700_24.635630_24.649760_24.663690_24.677340_24.691230_24.705170_24.719040_24.733060_24.747080_24.761130_24.774870_24.788900_24.802850_24.816810_24.830450_24.844450_24.858290,-0.000046,0.0321,0,-0.140003,2.157563,0.308618,0.111883,2.157563,0.559929,-0.447344,2.12953,15,23.81415,23.87,24.85829
projectile_experiment ,123,1,4,1,4,25.5824,27.3643,r,True,Hit,projectile,0,-0.164,2.308,0,0.251885,(-0.04_ -0.11_ 0.99),0,0,0,92.26388,92.26388,4.095654,-0.003255_-0.004882_-0.006509_-0.009764_-0.011391_-0.014646_-0.016273_-0.017900_-0.021155_-0.022578_-0.024905_-0.026067_-0.027229_-0.029554_-0.030716_-0.033041_-0.034203_-0.035366_-0.037691_-0.038853_-0.041178_-0.042340_-0.043502_-0.045827_-0.046989_-0.049314_-0.050477_-0.051639_-0.053964_-0.055126_-0.056288_-0.058613_-0.059775_-0.062100_-0.063263_-0.064425_-0.066750_-0.067912_-0.070237_-0.071399_-0.072562_-0.074886_-0.076049_-0.078373_-0.079536_-0.080698_-0.083023_-0.084185_-0.085348,0.081848_0.122773_0.163697_0.245545_0.286469_0.368318_0.409242_0.450166_0.532015_0.567792_0.626308_0.655539_0.684771_0.743234_0.772465_0.830928_0.860160_0.889392_0.947855_0.977086_1.035549_1.064781_1.094012_1.152475_1.181707_1.240170_1.269402_1.298633_1.357096_1.386328_1.415560_1.474023_1.503254_1.561717_1.590949_1.620180_1.678643_1.707875_1.766338_1.795570_1.824801_1.883264_1.912496_1.970959_2.000190_2.029422_2.087885_2.117117_2.146348,-0.085348,2.146348,25.971940_25.985860_25.999820_26.013680_26.027580_26.041560_26.055520_26.069410_26.083430_26.097270_26.111160_26.126060_26.139170_26.153090_26.166990_26.180900_26.194780_26.208840_26.222650_26.236510_26.250420_26.264340_26.278290_26.292250_26.306150_26.320080_26.334000_26.347990_26.361890_26.375810_26.389790_26.403580_26.417560_26.431460_26.445510_26.459310_26.473190_26.487140_26.501110_26.515070_26.529000_26.542950_26.556930_26.570720_26.584650_26.598660_26.612530_26.626430_26.640590,-0.000046,0.0321,0,-0.140003,2.157563,0.055794,0.111883,2.157563,0.197549,-0.085348,2.146348,20,25.91622,25.96,26.64059
projectile_experiment ,123,1,5,1,5,27.3643,29.52214,r,False,To the right,projectile,-0.840043,-0.164,2.308,-20,0.251885,(-0.27_ 0.27_ 0.92),0,0,0,105.6268,85.62679,3.135553,-0.008583_-0.017167_-0.034333_-0.042917_-0.060083_-0.068666_-0.077250_-0.094416_-0.103000_-0.118756_-0.124896_-0.131026_-0.143288_-0.149419_-0.161681_-0.167812_-0.173943_-0.186205_-0.192336_-0.198467_-0.210729_-0.216860_-0.229121_-0.235252_-0.241383_-0.253645_-0.259776_-0.272038_-0.278169_-0.284300_-0.296562_-0.302693_-0.314954_-0.321085_-0.327216_-0.339478_-0.345609_-0.357871_-0.364002_-0.370133_-0.382395_-0.388526_-0.400788_-0.406918_-0.413049_-0.425311_-0.431442_-0.437573_-0.449835_-0.455966_-0.468228_-0.474359_-0.480490_-0.492752_-0.498882_-0.511144_-0.517275_-0.523406_-0.535668_-0.541799_-0.554061_-0.560192_-0.566323_-0.578585_-0.584716_-0.596977_-0.603108_-0.609239,0.030158_0.060316_0.120631_0.150789_0.211105_0.241263_0.271421_0.331736_0.361894_0.417256_0.438827_0.460368_0.503451_0.524992_0.568075_0.589616_0.611157_0.654240_0.675781_0.697322_0.740405_0.761946_0.805029_0.826570_0.848111_0.891194_0.912735_0.955818_0.977359_0.998900_1.041983_1.063524_1.106607_1.128149_1.149690_1.192773_1.214314_1.257397_1.278938_1.300479_1.343562_1.365103_1.408186_1.429728_1.451269_1.494352_1.515893_1.537434_1.580517_1.602058_1.645141_1.666682_1.688224_1.731307_1.752848_1.795931_1.817472_1.839013_1.882096_1.903637_1.946720_1.968261_1.989803_2.032886_2.054427_2.097510_2.119051_2.140592,-0.609239,2.140592,27.865300_27.879310_27.893220_27.907270_27.921020_27.935050_27.948850_27.962900_27.976720_27.990730_28.005490_28.018560_28.032360_28.046250_28.060260_28.074140_28.088170_28.102050_28.115970_28.129920_28.143820_28.157730_28.172050_28.185640_28.199610_28.213370_28.227320_28.241260_28.255360_28.269070_28.282990_28.297080_28.310850_28.324800_28.338820_28.352730_28.366530_28.380660_28.394500_28.408340_28.422380_28.436230_28.450200_28.464090_28.478000_28.491980_28.505860_28.519720_28.533660_28.547620_28.561520_28.575410_28.589290_28.603180_28.617390_28.631150_28.644920_28.658850_28.672870_28.686820_28.700650_28.714690_28.728440_28.742540_28.756460_28.770210_28.784170_28.798270,-0.000046,0.0321,0.106187,-0.140003,2.157563,0.469543,0.111883,2.157563,0.721321,-0.609239,2.140592,20,27.80967,27.86,28.79827
projectile_experiment ,123,1,6,1,6,29.52214,31.56874,r,False,To the left,projectile,-0.840043,-0.164,2.308,-20,0.251885,(-0.46_ 0.31_ 0.83),0,0,0,117.7044,97.70436,4.045947,-0.019288_-0.038576_-0.077153_-0.096441_-0.135017_-0.154306_-0.173594_-0.212170_-0.231458_-0.267579_-0.281381_-0.295158_-0.322713_-0.336490_-0.364045_-0.377822_-0.391599_-0.419154_-0.432931_-0.446708_-0.474263_-0.488040_-0.515595_-0.529372_-0.543149_-0.570704_-0.584481_-0.612035_-0.625813_-0.639590_-0.667144_-0.680922_-0.708476_-0.722253_-0.736031_-0.763585_-0.777363_-0.804917_-0.818694_-0.832472_-0.860026_-0.873803_-0.887581_-0.915135_-0.928912_-0.956467_-0.970244_-0.984021_-1.011576_-1.025353_-1.052908_-1.066685_-1.080462_-1.108017_-1.121794_-1.149348_-1.163126,0.035566_0.071132_0.142264_0.177830_0.248961_0.284527_0.320093_0.391225_0.426791_0.493395_0.518844_0.544249_0.595057_0.620461_0.671270_0.696674_0.722078_0.772887_0.798291_0.823695_0.874503_0.899908_0.950716_0.976120_1.001524_1.052333_1.077737_1.128546_1.153950_1.179354_1.230162_1.255567_1.306375_1.331779_1.357183_1.407992_1.433396_1.484205_1.509609_1.535013_1.585821_1.611226_1.636630_1.687438_1.712842_1.763651_1.789055_1.814459_1.865268_1.890672_1.941480_1.966885_1.992289_2.043097_2.068501_2.119310_2.144714,-1.163126,2.144714,30.065200_30.078980_30.093980_30.106730_30.120650_30.134650_30.148470_30.162360_30.176360_30.190370_30.204490_30.218510_30.232360_30.246310_30.260190_30.274110_30.288070_30.301930_30.315800_30.329910_30.343700_30.357550_30.371440_30.385530_30.399270_30.413150_30.427150_30.441130_30.455010_30.469030_30.483000_30.496810_30.510830_30.524620_30.538420_30.552150_30.566000_30.580420_30.594300_30.608260_30.621850_30.635730_30.649620_30.663670_30.677660_30.691510_30.705520_30.719390_30.733480_30.747290_30.761330_30.775270_30.789200_30.803040_30.816980_30.831010_30.844760,-0.000046,0.0321,0.179501,-0.140003,2.157563,1.023204,0.111883,2.157563,1.275073,-1.121794,2.068501,20,30.00918,30.06,30.84476
projectile_experiment ,123,1,7,2,1,31.56874,33.50388,r,True,Hit,projectile,-0.406963,-0.164,2.308,-10,0.251885,(-0.22_ 0.04_ 0.98),0,0,0,102.5195,92.51955,4.343904,-0.009150_-0.018301_-0.036601_-0.045751_-0.064052_-0.073202_-0.082353_-0.100653_-0.109803_-0.127019_-0.133567_-0.140103_-0.153175_-0.159711_-0.172783_-0.179319_-0.185855_-0.198926_-0.205462_-0.218534_-0.225070_-0.231606_-0.244678_-0.251214_-0.257750_-0.270821_-0.277357_-0.290429_-0.296965_-0.303501_-0.316573_-0.323109_-0.336181_-0.342717_-0.349252_-0.362324_-0.368860_-0.381932_-0.388468_-0.395004_-0.408076_-0.414612_-0.427683_-0.434219_-0.440755_-0.453827_-0.460363_-0.466899,0.042464_0.084929_0.169858_0.212322_0.297251_0.339715_0.382179_0.467108_0.509572_0.589466_0.619855_0.650186_0.710850_0.741181_0.801845_0.832176_0.862508_0.923171_0.953503_1.014166_1.044498_1.074830_1.135493_1.165825_1.196157_1.256820_1.287152_1.347816_1.378147_1.408479_1.469142_1.499474_1.560138_1.590469_1.620801_1.681465_1.711796_1.772460_1.802791_1.833123_1.893787_1.924118_1.984782_2.015114_2.045445_2.106108_2.136440_2.166772,-0.466899,2.166772,32.125510_32.139500_32.153340_32.167350_32.182130_32.195100_32.209060_32.222950_32.236980_32.250910_32.264790_32.278640_32.292660_32.306480_32.320420_32.334510_32.348260_32.362160_32.376210_32.390110_32.403890_32.418010_32.431770_32.445730_32.459770_32.473680_32.487540_32.501400_32.515340_32.529290_32.543170_32.557110_32.571170_32.585120_32.598900_32.612820_32.626820_32.640650_32.654640_32.668590_32.682370_32.696460_32.710270_32.724240_32.738160_32.751980_32.766120_32.780020,-0.00915,0.042464,0,-0.140003,2.157563,0.327026,0.111883,2.157563,0.578855,-0.466899,2.166772,25,32.0698,32.12,32.78002
projectile_experiment ,123,1,8,2,2,33.50388,35.39742,r,True,Hit,projectile,0,-0.164,2.308,0,0.251885,(0.00_ 0.00_ 1.00),0,0,0,90.1975,90.1975,3.973433,-0.000866_-0.002599_-0.003465_-0.004332_-0.006065_-0.006931_-0.008664_-0.009530_-0.010396_-0.012017_-0.012637_-0.013874_-0.014493_-0.015112_-0.016350_-0.016969_-0.018206_-0.018825_-0.019444_-0.020682_-0.021300_-0.021919_-0.023157_-0.023776_-0.025013_-0.025632_-0.026251_-0.027489_-0.028108_-0.029345_-0.029964_-0.030583_-0.031821_-0.032439_-0.033677_-0.034296_-0.034915_-0.036152_-0.036771_-0.038009_-0.038628_-0.039247_-0.040484_-0.041103_-0.041722_-0.042959_-0.043578_-0.044816_-0.045435_-0.046054_-0.046672,0.039725_0.119175_0.158900_0.198624_0.278074_0.317799_0.397249_0.436974_0.476699_0.550999_0.579423_0.636173_0.664548_0.692923_0.749673_0.778048_0.834798_0.863173_0.891548_0.948297_0.976672_1.005047_1.061797_1.090172_1.146922_1.175297_1.203672_1.260421_1.288796_1.345546_1.373921_1.402296_1.459046_1.487421_1.544170_1.572545_1.600920_1.657670_1.686045_1.742795_1.771170_1.799545_1.856295_1.884669_1.913044_1.969794_1.998169_2.054919_2.083294_2.111669_2.140044,-0.046672,2.140044,33.977200_33.991100_34.005100_34.019020_34.032910_34.046900_34.061680_34.074760_34.088720_34.102600_34.116600_34.130410_34.144380_34.158250_34.172300_34.186160_34.200120_34.213900_34.227920_34.241850_34.255800_34.269640_34.283570_34.297600_34.311410_34.325290_34.339270_34.353070_34.367090_34.381070_34.394830_34.408740_34.422780_34.436690_34.450600_34.464570_34.478460_34.492410_34.506340_34.520160_34.534180_34.548080_34.562190_34.576070_34.589870_34.603820_34.617940_34.631590_34.645690_34.659510_34.673360,-0.000866,0.039725,0,-0.140003,2.157563,0.09496,0.111883,2.157563,0.15952,-0.046672,2.140044,30,33.92157,33.97,34.67336
projectile_experiment ,123,1,9,2,3,35.39742,37.48564,r,True,Hit,projectile,-0.840043,-0.164,2.308,-20,0.251885,(-0.35_ 0.22_ 0.91),0,0,0,110.3242,90.32419,3.226765,-0.022984_-0.034476_-0.057460_-0.068952_-0.080445_-0.103429_-0.114921_-0.137905_-0.149397_-0.159055_-0.175484_-0.183692_-0.191901_-0.208318_-0.216527_-0.232944_-0.241152_-0.249361_-0.265778_-0.273987_-0.290404_-0.298613_-0.306821_-0.323239_-0.331447_-0.347865_-0.356073_-0.364282_-0.380699_-0.388908_-0.405325_-0.413534_-0.421742_-0.438160_-0.446368_-0.454577_-0.470994_-0.479203_-0.495620_-0.503829_-0.512037_-0.528455_-0.536663_-0.553080_-0.561289_-0.569498_-0.585915_-0.594124_-0.610541_-0.618749_-0.626958_-0.643375_-0.651584_-0.668001_-0.676210_-0.684419_-0.700836_-0.709044_-0.725462_-0.733670_-0.741879_-0.758296_-0.766505_-0.774714_-0.791131_-0.799339_-0.815757,0.060304_0.090456_0.150759_0.180911_0.211063_0.271367_0.301518_0.361822_0.391974_0.417313_0.460417_0.481954_0.503491_0.546565_0.568102_0.611176_0.632713_0.654250_0.697324_0.718861_0.761935_0.783472_0.805009_0.848083_0.869620_0.912694_0.934231_0.955768_0.998842_1.020379_1.063454_1.084991_1.106528_1.149602_1.171139_1.192676_1.235750_1.257287_1.300361_1.321898_1.343435_1.386510_1.408047_1.451121_1.472658_1.494195_1.537269_1.558806_1.601880_1.623417_1.644954_1.688028_1.709566_1.752640_1.774177_1.795714_1.838788_1.860325_1.903399_1.924936_1.946473_1.989547_2.011084_2.032621_2.075696_2.097233_2.140307,-0.815757,2.140307,35.842880_35.856770_35.870570_35.884560_35.898460_35.912430_35.926330_35.941060_35.954200_35.968060_35.982000_35.995840_36.009900_36.023780_36.037690_36.051720_36.065530_36.079400_36.093370_36.107340_36.121180_36.135070_36.149000_36.162880_36.176900_36.190800_36.204680_36.218680_36.232550_36.246580_36.260520_36.274270_36.288200_36.302210_36.316070_36.329940_36.344040_36.357880_36.371880_36.385650_36.399710_36.413430_36.427460_36.441450_36.455460_36.469210_36.483150_36.496970_36.510940_36.525010_36.538880_36.552830_36.566810_36.580610_36.594750_36.608400_36.622390_36.636250_36.650250_36.664150_36.678300_36.692050_36.705950_36.719970_36.733820_36.747740_36.761870,-0.000866,0.039725,0,-0.140003,2.157563,0.675974,0.111883,2.157563,0.9278,-0.815757,2.140307,35,35.78718,35.83,36.76187
projectile_experiment ,123,1,10,2,4,37.48564,39.88026,r,False,To the left,projectile,-0.840043,-0.164,2.308,-20,0.251885,(-0.52_ 0.43_ 0.74),0,0,0,121.0552,101.0552,2.866062,-0.031989_-0.047983_-0.079972_-0.095967_-0.111962_-0.143951_-0.159945_-0.191934_-0.207928_-0.221048_-0.243911_-0.255336_-0.278185_-0.289610_-0.301035_-0.323884_-0.335308_-0.346733_-0.369582_-0.381007_-0.403856_-0.415281_-0.426705_-0.449555_-0.460979_-0.483829_-0.495253_-0.506678_-0.529527_-0.540952_-0.563801_-0.575226_-0.586651_-0.609500_-0.620925_-0.643774_-0.655199_-0.666623_-0.689472_-0.700897_-0.712322_-0.735171_-0.746596_-0.769445_-0.780870_-0.792294_-0.815144_-0.826568_-0.849418_-0.860842_-0.872267_-0.895116_-0.906541_-0.929390_-0.940815_-0.952240_-0.975089_-0.986514_-1.009363_-1.020788_-1.032212_-1.055062_-1.066486_-1.089336_-1.100760_-1.112185_-1.135034_-1.146459_-1.157884_-1.180733_-1.192158_-1.215007_-1.226431_-1.237856_-1.260705_-1.272130_-1.294979_-1.306404_-1.317829_-1.340678_-1.352103_-1.374952_-1.386377_-1.397801_-1.420651_-1.432075,0.047565_0.071348_0.118913_0.142695_0.166478_0.214043_0.237825_0.285390_0.309173_0.328681_0.362676_0.379664_0.413639_0.430626_0.447614_0.481589_0.498576_0.515564_0.549539_0.566526_0.600501_0.617489_0.634476_0.668451_0.685439_0.719414_0.736401_0.753389_0.787364_0.804351_0.838326_0.855314_0.872301_0.906276_0.923264_0.957239_0.974226_0.991214_1.025189_1.042176_1.059164_1.093139_1.110126_1.144102_1.161089_1.178077_1.212052_1.229039_1.263014_1.280002_1.296990_1.330965_1.347952_1.381927_1.398915_1.415902_1.449878_1.466865_1.500840_1.517828_1.534815_1.568791_1.585778_1.619753_1.636741_1.653728_1.687703_1.704691_1.721679_1.755654_1.772641_1.806616_1.823604_1.840592_1.874567_1.891554_1.925529_1.942517_1.959504_1.993480_2.010467_2.044442_2.061430_2.078417_2.112392_2.129380,-1.432075,2.12938,37.972950_37.987160_38.000840_38.014770_38.029770_38.042710_38.056610_38.070490_38.084470_38.098330_38.112200_38.126200_38.140070_38.154180_38.167890_38.181980_38.195840_38.209780_38.223670_38.237600_38.251470_38.265430_38.279410_38.293380_38.307210_38.321270_38.335170_38.349000_38.362860_38.376680_38.390730_38.404530_38.418610_38.432360_38.446350_38.460220_38.474210_38.488100_38.502100_38.515940_38.529830_38.543910_38.557770_38.571980_38.585800_38.599510_38.613600_38.627430_38.641250_38.655170_38.669170_38.683150_38.696940_38.710930_38.725010_38.738770_38.752800_38.766630_38.780450_38.794450_38.808490_38.822420_38.836210_38.850270_38.864100_38.878080_38.892050_38.906010_38.919660_38.933640_38.947720_38.961540_38.975520_38.989360_39.003300_39.017270_39.031130_39.045150_39.059060_39.072960_39.086760_39.100880_39.114720_39.128590_39.142610_39.156380,-0.000866,0.039725,0.40262,-0.140003,2.157563,1.29238,0.111883,2.157563,1.544215,-1.294979,1.925529,35,37.90334,37.96,39.15638
