experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,hand,target_hit,final_ball_state,type,target_position_x,target_position_y,target_position_z,target_angle,target_width,launch_direction,side_water_force,forward_water_force,water_speed_m/s,launch_angle,launch_angle_error,launch_Speed,ball_pos_x,ball_pos_z,final_ball_pos_x,final_ball_pos_z,ball_time,turning_absolute_x,turning_absolute_y,distance_from_target,leftPole_position_x,leftPole_position_z,leftPole_distance_from_ball,rightPole_position_x,rightPole_position_z,rightPole_distance_from_ball,min_pos_from_target_x,min_pos_from_target_z,total_score,step_0_time,step_1_time,step_2_time
projectile_experiment ,123,1,1,1,1,32.25347,36.38505,r,False,To the right,projectile,0,-0.164,2.308,0,0.075566,(0.24_ 0.06_ 0.97),0,0,0,76.14601,76.14601,6.288421,0.015086_0.045257_0.060343_0.090514_0.105599_0.120685_0.150856_0.165942_0.196113_0.209963_0.221931_0.244434_0.255287_0.266063_0.287614_0.298390_0.319941_0.330716_0.341492_0.363042_0.373818_0.395369_0.406144_0.416920_0.438471_0.449246_0.470797_0.481572_0.492348_0.513899_0.524674_0.535450,0.061048_0.183144_0.244192_0.366288_0.427335_0.488383_0.610479_0.671527_0.793623_0.849671_0.898100_0.989168_1.033087_1.076695_1.163906_1.207512_1.294723_1.338329_1.381935_1.469146_1.512752_1.599963_1.643569_1.687174_1.774386_1.817991_1.905203_1.948809_1.992414_2.079625_2.123231_2.166837,0.53545,2.166837,35.228830_35.242700_35.256820_35.270750_35.284680_35.298560_35.312400_35.326370_35.341410_35.354250_35.368130_35.382050_35.395960_35.409980_35.423840_35.437810_35.452370_35.465680_35.479580_35.493320_35.507260_35.521470_35.535220_35.549230_35.563130_35.577100_35.591140_35.605060_35.618970_35.632820_35.646760_35.660770,0.53545,2.166837,0.482413,-0.051843,2.157563,0.587366,0.023723,2.157563,0.511811,0.513899,2.079625,0,35.18726,35.22,35.66077
projectile_experiment ,123,1,2,1,2,36.38505,38.1531,r,True,Hit,projectile,0,-0.164,2.308,0,0.075566,(-0.04_ -0.08_ 1.00),0,0,0,92.29327,92.29327,4.133429,-0.002912_-0.004368_-0.005824_-0.008736_-0.010192_-0.013105_-0.014561_-0.016017_-0.018929_-0.020203_-0.022285_-0.023325_-0.024365_-0.026446_-0.027486_-0.028526_-0.030606_-0.031646_-0.033726_-0.034766_-0.035806_-0.037886_-0.038926_-0.041006_-0.042046_-0.043086_-0.045166_-0.046206_-0.048287_-0.049327_-0.050367_-0.052447_-0.053487_-0.055567_-0.056607_-0.057647_-0.059727_-0.060767_-0.061807_-0.063887_-0.064927_-0.067007_-0.068047_-0.069087_-0.071167_-0.072208_-0.074288_-0.075328_-0.076368,0.082617_0.123926_0.165235_0.247852_0.289160_0.371778_0.413086_0.454395_0.537012_0.573173_0.632239_0.661745_0.691251_0.750264_0.779770_0.809276_0.868288_0.897794_0.956807_0.986313_1.015819_1.074831_1.104337_1.163350_1.192856_1.222362_1.281375_1.310881_1.369893_1.399400_1.428906_1.487918_1.517424_1.576437_1.605943_1.635449_1.694462_1.723968_1.753474_1.812486_1.841993_1.901005_1.930511_1.960017_2.019030_2.048536_2.107548_2.137055_2.166561,-0.076368,2.166561,36.760740_36.774660_36.788630_36.803470_36.816580_36.830450_36.844260_36.858150_36.872120_36.886130_36.900040_36.913950_36.928490_36.941890_36.955700_36.969580_36.983500_36.997750_37.011450_37.025260_37.039260_37.053210_37.066960_37.081270_37.094800_37.108830_37.122640_37.136650_37.150700_37.164610_37.178420_37.192390_37.206210_37.220210_37.234170_37.248140_37.261940_37.276070_37.289910_37.303820_37.317780_37.331780_37.345700_37.359520_37.373610_37.387680_37.401430_37.415310_37.429150,0.53545,2.166837,0,-0.051843,2.157563,0.026123,0.023723,2.157563,0.100494,-0.076368,2.166561,5,36.70504,36.75,37.42915
projectile_experiment ,123,1,3,1,3,38.1531,39.86581,r,False,To the left,projectile,0,-0.164,2.308,0,0.075566,(-0.04_ -0.13_ 0.99),0,0,0,92.38158,92.38158,4.024146,-0.003373_-0.005059_-0.008432_-0.010118_-0.011805_-0.015178_-0.016864_-0.020237_-0.021923_-0.023394_-0.025805_-0.027009_-0.029419_-0.030623_-0.031828_-0.034237_-0.035441_-0.037851_-0.039055_-0.040260_-0.042669_-0.043873_-0.045078_-0.047487_-0.048692_-0.051101_-0.052305_-0.053510_-0.055919_-0.057124_-0.059533_-0.060737_-0.061942_-0.064351_-0.065556_-0.067965_-0.069169_-0.070374_-0.072783_-0.073987_-0.076397_-0.077601_-0.078806_-0.081215_-0.082419_-0.084829_-0.086033_-0.087238_-0.089647,0.080412_0.120618_0.201031_0.241237_0.281443_0.361855_0.402061_0.482473_0.522679_0.557739_0.615227_0.643946_0.701383_0.730102_0.758821_0.816258_0.844977_0.902414_0.931133_0.959851_1.017288_1.046007_1.074726_1.132163_1.160882_1.218319_1.247038_1.275757_1.333194_1.361913_1.419350_1.448069_1.476788_1.534225_1.562944_1.620381_1.649100_1.677819_1.735256_1.763975_1.821412_1.850131_1.878850_1.936287_1.965006_2.022443_2.051162_2.079880_2.137318,-0.089647,2.137318,38.473300_38.487450_38.501360_38.515030_38.529210_38.543100_38.557100_38.571150_38.584750_38.598670_38.612660_38.626640_38.640460_38.654350_38.668560_38.683270_38.696240_38.710020_38.723820_38.737870_38.751770_38.765670_38.779490_38.793580_38.807510_38.821350_38.835460_38.849430_38.863180_38.877070_38.890910_38.905090_38.918930_38.932870_38.946930_38.960910_38.974820_38.988660_39.002740_39.016270_39.030330_39.044140_39.058020_39.071980_39.086170_39.100080_39.114100_39.127810_39.141670,0.53545,2.166837,0.055712,-0.051843,2.157563,0.042883,0.023723,2.157563,0.115163,-0.089647,2.137318,5,38.41796,38.46,39.14167
projectile_experiment ,123,1,4,1,4,39.86581,41.45309,r,True,To the left,projectile,0,-0.164,2.308,0,0.075566,(-0.04_ -0.08_ 1.00),0,0,0,92.30357,92.30357,5.010996,-0.001862_-0.005585_-0.007446_-0.009308_-0.013031_-0.014893_-0.016754_-0.020477_-0.022339_-0.025871_-0.027249_-0.028579_-0.031239_-0.032569_-0.035228_-0.036558_-0.037887_-0.040547_-0.041876_-0.044536_-0.045865_-0.047195_-0.049855_-0.051184_-0.053844_-0.055173_-0.056503_-0.059162_-0.060492_-0.061822_-0.064481_-0.065811_-0.068470_-0.069800_-0.071130_-0.073789_-0.075119_-0.077778_-0.079108_-0.080438,0.050075_0.150226_0.200302_0.250377_0.350528_0.400603_0.450678_0.550829_0.600905_0.695908_0.732994_0.768773_0.840309_0.876077_0.947613_0.983381_1.019150_1.090686_1.126454_1.197990_1.233758_1.269527_1.341063_1.376831_1.448367_1.484136_1.519904_1.591440_1.627208_1.662976_1.734513_1.770281_1.841817_1.877585_1.913353_1.984890_2.020658_2.092194_2.127962_2.163730,-0.080438,2.16373,40.186020_40.200070_40.213810_40.227840_40.241630_40.255810_40.269450_40.283560_40.297310_40.311370_40.325290_40.339240_40.353990_40.367070_40.381020_40.395130_40.408850_40.422560_40.436410_40.450500_40.464420_40.478210_40.492110_40.506070_40.520200_40.534110_40.548030_40.561880_40.575840_40.589680_40.603560_40.617680_40.631690_40.645490_40.659560_40.673420_40.687580_40.701180_40.715220_40.729050,0.53545,2.166837,0.042995,-0.051843,2.157563,0.029252,0.023723,2.157563,0.104343,-0.080438,2.16373,5,40.13019,40.18,40.72905
projectile_experiment ,123,1,5,1,5,41.45309,43.09566,r,False,To the left,projectile,0,-0.164,2.308,0,0.075566,(-0.06_ -0.05_ 1.00),0,0,0,93.61847,93.61847,4.678183,-0.005144_-0.007716_-0.010288_-0.015431_-0.018003_-0.023147_-0.025719_-0.028291_-0.033435_-0.035723_-0.039418_-0.041255_-0.043092_-0.046766_-0.048603_-0.052277_-0.054114_-0.055952_-0.059626_-0.061463_-0.063300_-0.066974_-0.068811_-0.072485_-0.074322_-0.076159_-0.079833_-0.081670_-0.085345_-0.087182_-0.089019_-0.092693_-0.094530_-0.098204_-0.100041_-0.101878_-0.105552_-0.107389_-0.111064_-0.112901_-0.114738_-0.118412,0.093422_0.140133_0.186844_0.280267_0.326978_0.420400_0.467111_0.513822_0.607244_0.648812_0.715913_0.749278_0.782643_0.849373_0.882738_0.949468_0.982833_1.016198_1.082928_1.116293_1.149658_1.216388_1.249753_1.316483_1.349848_1.383213_1.449943_1.483308_1.550038_1.583403_1.616768_1.683498_1.716863_1.783593_1.816958_1.850323_1.917053_1.950418_2.017148_2.050514_2.083879_2.150609,-0.118412,2.150609,41.801190_41.815130_41.828930_41.842960_41.856790_41.870610_41.884600_41.898510_41.912470_41.926390_41.940470_41.954410_41.968370_41.982230_41.996010_42.010040_42.025450_42.038050_42.051820_42.065510_42.079360_42.093250_42.107330_42.121460_42.135330_42.149380_42.163170_42.177140_42.191010_42.204810_42.218960_42.232730_42.246670_42.260690_42.274460_42.288520_42.302320_42.316300_42.330350_42.344070_42.357780_42.371910,0.53545,2.166837,0.080968,-0.051843,2.157563,0.066931,0.023723,2.157563,0.142305,-0.118412,2.150609,5,41.74548,41.79,42.37191
projectile_experiment ,123,1,6,1,6,43.09566,44.83615,r,False,To the left,projectile,0,-0.164,2.308,0,0.075566,(-0.06_ -0.09_ 0.99),0,0,0,93.72648,93.72648,3.781273,-0.003296_-0.009889_-0.013185_-0.016481_-0.023074_-0.026370_-0.032963_-0.036259_-0.039556_-0.045699_-0.048058_-0.052767_-0.055121_-0.057476_-0.062185_-0.064539_-0.069248_-0.071603_-0.073957_-0.078666_-0.081020_-0.085729_-0.088084_-0.090438_-0.095147_-0.097502_-0.102211_-0.104565_-0.106920_-0.111629_-0.113983_-0.116338_-0.121047_-0.123401_-0.128110_-0.130465_-0.132819_-0.137528_-0.139883_-0.144592_-0.146946_-0.149301_-0.154010_-0.156364_-0.161073_-0.163428_-0.165783_-0.170492_-0.172846_-0.177555_-0.179910_-0.182264_-0.186973,0.037669_0.113006_0.150675_0.188344_0.263682_0.301350_0.376688_0.414357_0.452025_0.522232_0.549183_0.602996_0.629902_0.656808_0.710621_0.737527_0.791339_0.818246_0.845152_0.898964_0.925871_0.979683_1.006589_1.033496_1.087308_1.114214_1.168027_1.194933_1.221839_1.275652_1.302558_1.329464_1.383277_1.410183_1.463996_1.490902_1.517808_1.571621_1.598527_1.652339_1.679246_1.706152_1.759964_1.786871_1.840683_1.867589_1.894496_1.948308_1.975214_2.029027_2.055933_2.082839_2.136652,-0.186973,2.136652,43.388270_43.402000_43.416060_43.429790_43.443780_43.457750_43.471690_43.486650_43.499490_43.513560_43.527290_43.541330_43.555070_43.569120_43.583030_43.597020_43.611140_43.624700_43.638660_43.652680_43.666580_43.680400_43.694520_43.708250_43.722260_43.736270_43.750160_43.764060_43.777950_43.791740_43.805780_43.819830_43.833480_43.847470_43.861420_43.875250_43.889190_43.903220_43.916930_43.931110_43.944910_43.958820_43.972800_43.986700_44.000750_44.014720_44.028530_44.042620_44.056560_44.070610_44.084400_44.098250_44.111940,0.53545,2.166837,0.150688,-0.051843,2.157563,0.136738,0.023723,2.157563,0.211731,-0.186973,2.136652,5,43.33239,43.38,44.11194
projectile_experiment ,123,1,7,2,1,44.83615,46.49296,r,False,To the left,projectile,0,-0.164,2.308,0,0.075566,(-0.06_ -0.10_ 0.99),0,0,0,93.69769,93.69769,4.528114,-0.004998_-0.007496_-0.009995_-0.014993_-0.017492_-0.019991_-0.024988_-0.027487_-0.032485_-0.034699_-0.036488_-0.040057_-0.041842_-0.045412_-0.047197_-0.048982_-0.052552_-0.054336_-0.057906_-0.059691_-0.061476_-0.065046_-0.066831_-0.070400_-0.072185_-0.073970_-0.077540_-0.079325_-0.082894_-0.084679_-0.086464_-0.090034_-0.091819_-0.093604_-0.097173_-0.098958_-0.102528_-0.104313_-0.106098_-0.109668_-0.111452_-0.115022_-0.116807_-0.118592,0.090424_0.135636_0.180849_0.271273_0.316485_0.361697_0.452121_0.497334_0.587758_0.627827_0.660184_0.724773_0.757067_0.821656_0.853950_0.886245_0.950833_0.983128_1.047716_1.080011_1.112305_1.176894_1.209188_1.273777_1.306072_1.338366_1.402955_1.435249_1.499838_1.532132_1.564427_1.629015_1.661310_1.693604_1.758193_1.790487_1.855076_1.887371_1.919665_1.984254_2.016548_2.081137_2.113431_2.145725,-0.118592,2.145725,45.170060_45.184100_45.197940_45.211930_45.225830_45.239800_45.253700_45.267760_45.281580_45.295560_45.309380_45.323360_45.337270_45.351240_45.366090_45.379190_45.392960_45.406890_45.420930_45.434890_45.448890_45.462480_45.476480_45.490620_45.504430_45.518330_45.532300_45.546230_45.560470_45.574150_45.588070_45.601850_45.615850_45.629810_45.643800_45.657650_45.671460_45.685530_45.699310_45.713380_45.727400_45.741480_45.754910_45.768960,-0.004998,0.090424,0.081711,-0.051843,2.157563,0.067791,0.023723,2.157563,0.142806,-0.118592,2.145725,5,45.11453,45.16,45.76896
projectile_experiment ,123,1,8,2,2,46.49296,48.02427,r,True,To the left,projectile,0,-0.164,2.308,0,0.075566,(-0.05_ -0.07_ 1.00),0,0,0,92.92433,92.92433,4.900867,-0.001701_-0.005104_-0.006805_-0.008507_-0.011909_-0.013611_-0.017014_-0.018715_-0.020416_-0.023640_-0.024890_-0.027321_-0.028536_-0.029751_-0.032182_-0.033397_-0.035828_-0.037043_-0.038258_-0.040689_-0.041904_-0.044334_-0.045550_-0.046765_-0.049195_-0.050411_-0.051626_-0.054056_-0.055272_-0.057702_-0.058917_-0.060133_-0.062563_-0.063778_-0.066209_-0.067424_-0.068639_-0.071070_-0.072285_-0.074716,0.048979_0.146937_0.195917_0.244896_0.342854_0.391833_0.489791_0.538770_0.587750_0.680560_0.716549_0.786527_0.821512_0.856497_0.926467_0.961452_1.031422_1.066407_1.101392_1.171363_1.206348_1.276318_1.311303_1.346288_1.416258_1.451243_1.486228_1.556198_1.591183_1.661154_1.696139_1.731124_1.801094_1.836079_1.906049_1.941034_1.976019_2.045989_2.080974_2.150944,-0.074716,2.150944,46.757440_46.771560_46.785260_46.799130_46.813000_46.827960_46.840960_46.854830_46.868670_46.882690_46.896560_46.910410_46.925180_46.938480_46.952170_46.966220_46.980010_46.994100_47.007930_47.022030_47.036000_47.050000_47.063760_47.077650_47.091650_47.105470_47.119590_47.133430_47.147340_47.161130_47.174900_47.188880_47.202900_47.216720_47.230700_47.244720_47.258480_47.272710_47.286470_47.300410,-0.001701,0.048979,0.03756,-0.051843,2.157563,0.023811,0.023723,2.157563,0.098661,-0.074716,2.150944,5,46.70167,46.75,47.30041
projectile_experiment ,123,1,9,2,3,48.02427,49.79254,r,False,To the left,projectile,0,-0.164,2.308,0,0.075566,(-0.04_ -0.08_ 1.00),0,0,0,92.08384,92.08384,4.214627,-0.002183_-0.004365_-0.008731_-0.010913_-0.013096_-0.017461_-0.019644_-0.024009_-0.026192_-0.028374_-0.031852_-0.033411_-0.036529_-0.038088_-0.039647_-0.042765_-0.044324_-0.047442_-0.049001_-0.050560_-0.053678_-0.055237_-0.058356_-0.059915_-0.061474_-0.064592_-0.066151_-0.067710_-0.070828_-0.072387_-0.075505_-0.077064_-0.078623_-0.081741_-0.083300_-0.086418_-0.087977_-0.089536_-0.092654_-0.094213_-0.097331_-0.098890_-0.100449_-0.103567_-0.105126_-0.108244_-0.109803_-0.111362,0.042090_0.084179_0.168359_0.210449_0.252538_0.336718_0.378808_0.462987_0.505077_0.547166_0.614231_0.644296_0.704424_0.734488_0.764552_0.824680_0.854744_0.914873_0.944937_0.975001_1.035129_1.065193_1.125321_1.155385_1.185449_1.245578_1.275642_1.305706_1.365834_1.395898_1.456026_1.486090_1.516155_1.576283_1.606347_1.666475_1.696539_1.726603_1.786731_1.816796_1.876924_1.906988_1.937052_1.997180_2.027244_2.087373_2.117437_2.147501,-0.111362,2.147501,48.414000_48.427930_48.442170_48.456010_48.469980_48.483650_48.498550_48.511570_48.525470_48.539310_48.553330_48.567220_48.581240_48.595070_48.609000_48.623030_48.636880_48.650860_48.664790_48.678610_48.692470_48.706240_48.720240_48.734340_48.748340_48.761990_48.776010_48.789920_48.803980_48.817870_48.831790_48.845520_48.859510_48.873430_48.887450_48.901420_48.915470_48.929250_48.943230_48.957020_48.970910_48.985000_48.998850_49.012700_49.026700_49.040580_49.054490_49.068690,-0.001701,0.048979,0.074304,-0.051843,2.157563,0.060364,0.023723,2.157563,0.135459,-0.111362,2.147501,5,48.35839,48.41,49.06869
projectile_experiment ,123,1,10,2,4,49.79254,51.82501,r,False,To the right,projectile,0,-0.164,2.308,0,0.075566,(0.07_ -0.03_ 1.00),0,0,0,86.17611,86.17611,3.985129,0.002356_0.004712_0.009424_0.011780_0.016492_0.018848_0.021204_0.025915_0.028271_0.032679_0.034365_0.036047_0.039413_0.041096_0.042779_0.046144_0.047827_0.051193_0.052876_0.054558_0.057924_0.059607_0.062973_0.064655_0.066338_0.069704_0.071387_0.074752_0.076435_0.078118_0.081484_0.083166_0.086532_0.088215_0.089898_0.093263_0.094946_0.098312_0.099995_0.101677_0.105043_0.106726_0.108409_0.111774_0.113457_0.116823_0.118506_0.120188_0.123554_0.125237_0.126920,0.039782_0.079563_0.159126_0.198908_0.278471_0.318253_0.358034_0.437597_0.477379_0.551800_0.580266_0.608681_0.665512_0.693927_0.722343_0.779174_0.807589_0.864420_0.892835_0.921251_0.978082_1.006497_1.063328_1.091743_1.120159_1.176990_1.205405_1.262236_1.290652_1.319067_1.375898_1.404313_1.461144_1.489560_1.517975_1.574806_1.603221_1.660052_1.688468_1.716883_1.773714_1.802130_1.830545_1.887376_1.915791_1.972622_2.001038_2.029453_2.086284_2.114699_2.143115,0.12692,2.143115,50.404900_50.418960_50.432790_50.446820_50.460720_50.474680_50.488430_50.502370_50.516320_50.530160_50.544070_50.558060_50.571950_50.586810_50.599890_50.613760_50.627710_50.641500_50.655350_50.669490_50.683330_50.697300_50.711160_50.725020_50.738980_50.752870_50.766770_50.780570_50.794690_50.808630_50.822440_50.836380_50.850350_50.864400_50.878500_50.892160_50.905960_50.920220_50.934050_50.947960_50.961780_50.975780_50.989640_51.003630_51.017470_51.031570_51.045170_51.059350_51.073340_51.087270_51.101280,0.12692,2.143115,0.090261,-0.051843,2.157563,0.179345,0.023723,2.157563,0.104203,0.12692,2.143115,5,50.34921,50.4,51.10128
